country,actual,continent,year,type,value,rank,direction,sex
Namibia,Africa,Africa,2018,male_suicide,17,10,highest,Male
Sao Tome and Principe,Africa,Africa,2018,male_suicide,2.2,1,lowest,Male
Algeria,Africa,Africa,2018,male_suicide,3.1,2,lowest,Male
Mauritania,Africa,Africa,2018,male_suicide,4,3,lowest,Male
Tunisia,Africa,Africa,2018,male_suicide,4.5,4,lowest,Male
Sudan,Africa,Africa,2018,male_suicide,4.9,5,lowest,Male
Nigeria,Africa,Africa,2018,male_suicide,5.1,6,lowest,Male
Mali,Africa,Africa,2018,male_suicide,5.2,7,lowest,Male
Liberia,Africa,Africa,2018,male_suicide,5.3,8,lowest,Male
South Sudan,Africa,Africa,2018,male_suicide,5.6,9,lowest,Male
Tanzania,Africa,Africa,2018,male_suicide,6.4,10,lowest,Male
Lesotho,Africa,Africa,2018,female_suicide,29.9,1,highest,Female
South Africa,Africa,Africa,2018,female_suicide,9.7,2,highest,Female
Zimbabwe,Africa,Africa,2018,female_suicide,8.7,3,highest,Female
Botswana,Africa,Africa,2018,female_suicide,7.3,4,highest,Female
Djibouti,Africa,Africa,2018,female_suicide,6.5,5,highest,Female
Equatorial Guinea,Africa,Africa,2018,female_suicide,5.7,6,highest,Female
Mozambique,Africa,Africa,2018,female_suicide,5.7,7,highest,Female
Central African Rep.,Africa,Africa,2018,female_suicide,5.3,8,highest,Female
Eritrea,Africa,Africa,2018,female_suicide,5.3,9,highest,Female
Sierra Leone,Africa,Africa,2018,female_suicide,4.9,10,highest,Female
Sao Tome and Principe,Africa,Africa,2018,female_suicide,0.8,1,lowest,Female
Ghana,Africa,Africa,2018,female_suicide,1.2,2,lowest,Female
Seychelles,Africa,Africa,2018,female_suicide,1.4,3,lowest,Female
Uganda,Africa,Africa,2018,female_suicide,1.6,4,lowest,Female
Malawi,Africa,Africa,2018,female_suicide,1.8,5,lowest,Female
Algeria,Africa,Africa,2018,female_suicide,1.9,6,lowest,Female
Tunisia,Africa,Africa,2018,female_suicide,1.9,7,lowest,Female
Tanzania,Africa,Africa,2018,female_suicide,1.9,8,lowest,Female
Dominican Republic,Africa,Africa,2018,female_suicide,2,9,lowest,Female
Nigeria,Africa,Africa,2018,female_suicide,2,10,lowest,Female
Lesotho,Africa,Africa,2017,both_suicide,78.3,1,highest,All
Eswatini,Africa,Africa,2017,both_suicide,30.4,2,highest,All
South Africa,Africa,Africa,2017,both_suicide,25.2,3,highest,All
Botswana,Africa,Africa,2017,both_suicide,17.4,4,highest,All
Zimbabwe,Africa,Africa,2017,both_suicide,15,5,highest,All
Central African Rep.,Africa,Africa,2017,both_suicide,14.3,6,highest,All
Cabo Verde,Africa,Africa,2017,both_suicide,14.2,7,highest,All
Mozambique,Africa,Africa,2017,both_suicide,13.4,8,highest,All
Eritrea,Africa,Africa,2017,both_suicide,11.3,9,highest,All
Namibia,Africa,Africa,2017,both_suicide,10.9,10,highest,All
Sao Tome and Principe,Africa,Africa,2017,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2017,both_suicide,2.5,2,lowest,All
Mauritania,Africa,Africa,2017,both_suicide,3.1,3,lowest,All
Tunisia,Africa,Africa,2017,both_suicide,3.1,4,lowest,All
Nigeria,Africa,Africa,2017,both_suicide,3.6,5,lowest,All
South Sudan,Africa,Africa,2017,both_suicide,3.7,6,lowest,All
Sudan,Africa,Africa,2017,both_suicide,3.8,7,lowest,All
Mali,Africa,Africa,2017,both_suicide,4.1,8,lowest,All
Tanzania,Africa,Africa,2017,both_suicide,4.2,9,lowest,All
Nicaragua,Africa,Africa,2017,both_suicide,4.4,10,lowest,All
Lesotho,Africa,Africa,2017,male_suicide,127.2,1,highest,Male
Eswatini,Africa,Africa,2017,male_suicide,57.3,2,highest,Male
South Africa,Africa,Africa,2017,male_suicide,40.8,3,highest,Male
Botswana,Africa,Africa,2017,male_suicide,28.1,4,highest,Male
Cabo Verde,Africa,Africa,2017,male_suicide,23.7,5,highest,Male
Central African Rep.,Africa,Africa,2017,male_suicide,23.4,6,highest,Male
Mozambique,Africa,Africa,2017,male_suicide,21.8,7,highest,Male
Zimbabwe,Africa,Africa,2017,male_suicide,21,8,highest,Male
Namibia,Africa,Africa,2017,male_suicide,18.4,9,highest,Male
Eritrea,Africa,Africa,2017,male_suicide,17.3,10,highest,Male
Sao Tome and Principe,Africa,Africa,2017,male_suicide,2.2,1,lowest,Male
Algeria,Africa,Africa,2017,male_suicide,3.1,2,lowest,Male
Mauritania,Africa,Africa,2017,male_suicide,4,3,lowest,Male
Tunisia,Africa,Africa,2017,male_suicide,4.3,4,lowest,Male
Sudan,Africa,Africa,2017,male_suicide,4.9,5,lowest,Male
Mali,Africa,Africa,2017,male_suicide,5.2,6,lowest,Male
Nigeria,Africa,Africa,2017,male_suicide,5.2,7,lowest,Male
Liberia,Africa,Africa,2017,male_suicide,5.3,8,lowest,Male
South Sudan,Africa,Africa,2017,male_suicide,5.3,9,lowest,Male
Tanzania,Africa,Africa,2017,male_suicide,6.4,10,lowest,Male
Lesotho,Africa,Africa,2017,female_suicide,30.8,1,highest,Female
South Africa,Africa,Africa,2017,female_suicide,10,2,highest,Female
Zimbabwe,Africa,Africa,2017,female_suicide,9.6,3,highest,Female
Botswana,Africa,Africa,2017,female_suicide,7.5,4,highest,Female
Djibouti,Africa,Africa,2017,female_suicide,6.4,5,highest,Female
Equatorial Guinea,Africa,Africa,2017,female_suicide,5.9,6,highest,Female
Mozambique,Africa,Africa,2017,female_suicide,5.5,7,highest,Female
Central African Rep.,Africa,Africa,2017,female_suicide,5.4,8,highest,Female
Eritrea,Africa,Africa,2017,female_suicide,5.4,9,highest,Female
Eswatini,Africa,Africa,2017,female_suicide,5,10,highest,Female
Sao Tome and Principe,Africa,Africa,2017,female_suicide,0.8,1,lowest,Female
Ghana,Africa,Africa,2017,female_suicide,1.3,2,lowest,Female
Seychelles,Africa,Africa,2017,female_suicide,1.5,3,lowest,Female
Uganda,Africa,Africa,2017,female_suicide,1.6,4,lowest,Female
Algeria,Africa,Africa,2017,female_suicide,1.9,5,lowest,Female
Tunisia,Africa,Africa,2017,female_suicide,1.9,6,lowest,Female
Malawi,Africa,Africa,2017,female_suicide,2,7,lowest,Female
Nigeria,Africa,Africa,2017,female_suicide,2,8,lowest,Female
South Sudan,Africa,Africa,2017,female_suicide,2,9,lowest,Female
Tanzania,Africa,Africa,2017,female_suicide,2,10,lowest,Female
Lesotho,Africa,Africa,2016,both_suicide,87,1,highest,All
Eswatini,Africa,Africa,2016,both_suicide,32.8,2,highest,All
South Africa,Africa,Africa,2016,both_suicide,24.4,3,highest,All
Botswana,Africa,Africa,2016,both_suicide,17.8,4,highest,All
Zimbabwe,Africa,Africa,2016,both_suicide,16.8,5,highest,All
Cabo Verde,Africa,Africa,2016,both_suicide,14.4,6,highest,All
Central African Rep.,Africa,Africa,2016,both_suicide,13.7,7,highest,All
Mozambique,Africa,Africa,2016,both_suicide,13.6,8,highest,All
Eritrea,Africa,Africa,2016,both_suicide,11.5,9,highest,All
Namibia,Africa,Africa,2016,both_suicide,10.7,10,highest,All
Sao Tome and Principe,Africa,Africa,2016,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2016,both_suicide,2.6,2,lowest,All
Mauritania,Africa,Africa,2016,both_suicide,3,3,lowest,All
Tunisia,Africa,Africa,2016,both_suicide,3.1,4,lowest,All
Nigeria,Africa,Africa,2016,both_suicide,3.7,5,lowest,All
South Sudan,Africa,Africa,2016,both_suicide,3.7,6,lowest,All
Sudan,Africa,Africa,2016,both_suicide,3.9,7,lowest,All
Mali,Africa,Africa,2016,both_suicide,4.2,8,lowest,All
Tanzania,Africa,Africa,2016,both_suicide,4.2,9,lowest,All
Nicaragua,Africa,Africa,2016,both_suicide,4.4,10,lowest,All
Lesotho,Africa,Africa,2016,male_suicide,139.6,1,highest,Male
Eswatini,Africa,Africa,2016,male_suicide,60.7,2,highest,Male
South Africa,Africa,Africa,2016,male_suicide,39.2,3,highest,Male
Botswana,Africa,Africa,2016,male_suicide,28.5,4,highest,Male
Cabo Verde,Africa,Africa,2016,male_suicide,23.9,5,highest,Male
Zimbabwe,Africa,Africa,2016,male_suicide,22.5,6,highest,Male
Central African Rep.,Africa,Africa,2016,male_suicide,22.2,7,highest,Male
Mozambique,Africa,Africa,2016,male_suicide,22,8,highest,Male
Eritrea,Africa,Africa,2016,male_suicide,17.5,9,highest,Male
Namibia,Africa,Africa,2016,male_suicide,17.2,10,highest,Male
Sao Tome and Principe,Africa,Africa,2016,male_suicide,2.1,1,lowest,Male
Algeria,Africa,Africa,2016,male_suicide,3.2,2,lowest,Male
Mauritania,Africa,Africa,2016,male_suicide,3.9,3,lowest,Male
Tunisia,Africa,Africa,2016,male_suicide,4.3,4,lowest,Male
Sudan,Africa,Africa,2016,male_suicide,4.9,5,lowest,Male
Liberia,Africa,Africa,2016,male_suicide,5.3,6,lowest,Male
Mali,Africa,Africa,2016,male_suicide,5.3,7,lowest,Male
Nigeria,Africa,Africa,2016,male_suicide,5.3,8,lowest,Male
South Sudan,Africa,Africa,2016,male_suicide,5.4,9,lowest,Male
Tanzania,Africa,Africa,2016,male_suicide,6.4,10,lowest,Male
Lesotho,Africa,Africa,2016,female_suicide,36,1,highest,Female
Zimbabwe,Africa,Africa,2016,female_suicide,11.6,2,highest,Female
South Africa,Africa,Africa,2016,female_suicide,10.1,3,highest,Female
Botswana,Africa,Africa,2016,female_suicide,7.8,4,highest,Female
Equatorial Guinea,Africa,Africa,2016,female_suicide,6.7,5,highest,Female
Eswatini,Africa,Africa,2016,female_suicide,6.7,6,highest,Female
Djibouti,Africa,Africa,2016,female_suicide,6.2,7,highest,Female
Mozambique,Africa,Africa,2016,female_suicide,5.6,8,highest,Female
Central African Rep.,Africa,Africa,2016,female_suicide,5.4,9,highest,Female
Eritrea,Africa,Africa,2016,female_suicide,5.4,10,highest,Female
Sao Tome and Principe,Africa,Africa,2016,female_suicide,0.8,1,lowest,Female
Ghana,Africa,Africa,2016,female_suicide,1.4,2,lowest,Female
Seychelles,Africa,Africa,2016,female_suicide,1.5,3,lowest,Female
Nicaragua,Africa,Africa,2016,female_suicide,1.8,4,lowest,Female
Uganda,Africa,Africa,2016,female_suicide,1.8,5,lowest,Female
Algeria,Africa,Africa,2016,female_suicide,1.9,6,lowest,Female
Tunisia,Africa,Africa,2016,female_suicide,1.9,7,lowest,Female
Nigeria,Africa,Africa,2016,female_suicide,2,8,lowest,Female
South Sudan,Africa,Africa,2016,female_suicide,2,9,lowest,Female
Malawi,Africa,Africa,2016,female_suicide,2.1,10,lowest,Female
Lesotho,Africa,Africa,2015,both_suicide,92.4,1,highest,All
Eswatini,Africa,Africa,2015,both_suicide,35.1,2,highest,All
South Africa,Africa,Africa,2015,both_suicide,24.5,3,highest,All
Botswana,Africa,Africa,2015,both_suicide,19,4,highest,All
Zimbabwe,Africa,Africa,2015,both_suicide,18,5,highest,All
Cabo Verde,Africa,Africa,2015,both_suicide,14.4,6,highest,All
Central African Rep.,Africa,Africa,2015,both_suicide,14.4,7,highest,All
Mozambique,Africa,Africa,2015,both_suicide,13.9,8,highest,All
Eritrea,Africa,Africa,2015,both_suicide,11.6,9,highest,All
Namibia,Africa,Africa,2015,both_suicide,11.6,10,highest,All
Sao Tome and Principe,Africa,Africa,2015,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2015,both_suicide,2.7,2,lowest,All
Mauritania,Africa,Africa,2015,both_suicide,3,3,lowest,All
Tunisia,Africa,Africa,2015,both_suicide,3.1,4,lowest,All
South Sudan,Africa,Africa,2015,both_suicide,3.6,5,lowest,All
Nigeria,Africa,Africa,2015,both_suicide,3.7,6,lowest,All
Sudan,Africa,Africa,2015,both_suicide,3.9,7,lowest,All
Nicaragua,Africa,Africa,2015,both_suicide,4.2,8,lowest,All
Tanzania,Africa,Africa,2015,both_suicide,4.2,9,lowest,All
Mali,Africa,Africa,2015,both_suicide,4.3,10,lowest,All
Lesotho,Africa,Africa,2015,male_suicide,147.3,1,highest,Male
Eswatini,Africa,Africa,2015,male_suicide,62.6,2,highest,Male
South Africa,Africa,Africa,2015,male_suicide,39.5,3,highest,Male
Botswana,Africa,Africa,2015,male_suicide,30.6,4,highest,Male
Cabo Verde,Africa,Africa,2015,male_suicide,24,5,highest,Male
Zimbabwe,Africa,Africa,2015,male_suicide,23.8,6,highest,Male
Central African Rep.,Africa,Africa,2015,male_suicide,23.1,7,highest,Male
Mozambique,Africa,Africa,2015,male_suicide,22.4,8,highest,Male
Namibia,Africa,Africa,2015,male_suicide,18.4,9,highest,Male
Eritrea,Africa,Africa,2015,male_suicide,17.8,10,highest,Male
Sao Tome and Principe,Africa,Africa,2015,male_suicide,2.1,1,lowest,Male
Algeria,Africa,Africa,2015,male_suicide,3.4,2,lowest,Male
Mauritania,Africa,Africa,2015,male_suicide,3.9,3,lowest,Male
Tunisia,Africa,Africa,2015,male_suicide,4.3,4,lowest,Male
Sudan,Africa,Africa,2015,male_suicide,5,5,lowest,Male
South Sudan,Africa,Africa,2015,male_suicide,5.2,6,lowest,Male
Liberia,Africa,Africa,2015,male_suicide,5.3,7,lowest,Male
Mali,Africa,Africa,2015,male_suicide,5.3,8,lowest,Male
Nigeria,Africa,Africa,2015,male_suicide,5.3,9,lowest,Male
Nicaragua,Africa,Africa,2015,male_suicide,6.3,10,lowest,Male
Lesotho,Africa,Africa,2015,female_suicide,39.3,1,highest,Female
Zimbabwe,Africa,Africa,2015,female_suicide,12.6,2,highest,Female
South Africa,Africa,Africa,2015,female_suicide,9.9,3,highest,Female
Eswatini,Africa,Africa,2015,female_suicide,9.5,4,highest,Female
Botswana,Africa,Africa,2015,female_suicide,8.3,5,highest,Female
Equatorial Guinea,Africa,Africa,2015,female_suicide,7.1,6,highest,Female
Djibouti,Africa,Africa,2015,female_suicide,6.1,7,highest,Female
Central African Rep.,Africa,Africa,2015,female_suicide,5.9,8,highest,Female
Mozambique,Africa,Africa,2015,female_suicide,5.9,9,highest,Female
Eritrea,Africa,Africa,2015,female_suicide,5.5,10,highest,Female
Sao Tome and Principe,Africa,Africa,2015,female_suicide,0.8,1,lowest,Female
Ghana,Africa,Africa,2015,female_suicide,1.5,2,lowest,Female
Seychelles,Africa,Africa,2015,female_suicide,1.5,3,lowest,Female
Uganda,Africa,Africa,2015,female_suicide,1.7,4,lowest,Female
Algeria,Africa,Africa,2015,female_suicide,2,5,lowest,Female
Nigeria,Africa,Africa,2015,female_suicide,2,6,lowest,Female
South Sudan,Africa,Africa,2015,female_suicide,2,7,lowest,Female
Tunisia,Africa,Africa,2015,female_suicide,2,8,lowest,Female
Tanzania,Africa,Africa,2015,female_suicide,2,9,lowest,Female
Malawi,Africa,Africa,2015,female_suicide,2.2,10,lowest,Female
Lesotho,Africa,Africa,2014,both_suicide,92.6,1,highest,All
Eswatini,Africa,Africa,2014,both_suicide,39.2,2,highest,All
South Africa,Africa,Africa,2014,both_suicide,24.1,3,highest,All
Botswana,Africa,Africa,2014,both_suicide,19.6,4,highest,All
Zimbabwe,Africa,Africa,2014,both_suicide,18.2,5,highest,All
Central African Rep.,Africa,Africa,2014,both_suicide,15.6,6,highest,All
Cabo Verde,Africa,Africa,2014,both_suicide,14.4,7,highest,All
Mozambique,Africa,Africa,2014,both_suicide,14.4,8,highest,All
Eritrea,Africa,Africa,2014,both_suicide,11.7,9,highest,All
Namibia,Africa,Africa,2014,both_suicide,10.9,10,highest,All
Sao Tome and Principe,Africa,Africa,2014,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2014,both_suicide,2.8,2,lowest,All
Mauritania,Africa,Africa,2014,both_suicide,3.1,3,lowest,All
Tunisia,Africa,Africa,2014,both_suicide,3.2,4,lowest,All
South Sudan,Africa,Africa,2014,both_suicide,3.5,5,lowest,All
Nigeria,Africa,Africa,2014,both_suicide,3.9,6,lowest,All
Sudan,Africa,Africa,2014,both_suicide,3.9,7,lowest,All
Tanzania,Africa,Africa,2014,both_suicide,4.2,8,lowest,All
Mali,Africa,Africa,2014,both_suicide,4.4,9,lowest,All
Nicaragua,Africa,Africa,2014,both_suicide,4.5,10,lowest,All
Lesotho,Africa,Africa,2014,male_suicide,147.8,1,highest,Male
Eswatini,Africa,Africa,2014,male_suicide,66.9,2,highest,Male
South Africa,Africa,Africa,2014,male_suicide,38.7,3,highest,Male
Botswana,Africa,Africa,2014,male_suicide,31.4,4,highest,Male
Central African Rep.,Africa,Africa,2014,male_suicide,25.4,5,highest,Male
Cabo Verde,Africa,Africa,2014,male_suicide,23.8,6,highest,Male
Mozambique,Africa,Africa,2014,male_suicide,23.2,7,highest,Male
Zimbabwe,Africa,Africa,2014,male_suicide,22.4,8,highest,Male
Eritrea,Africa,Africa,2014,male_suicide,18,9,highest,Male
Namibia,Africa,Africa,2014,male_suicide,17.7,10,highest,Male
Sao Tome and Principe,Africa,Africa,2014,male_suicide,2.2,1,lowest,Male
Algeria,Africa,Africa,2014,male_suicide,3.5,2,lowest,Male
Mauritania,Africa,Africa,2014,male_suicide,3.9,3,lowest,Male
Tunisia,Africa,Africa,2014,male_suicide,4.4,4,lowest,Male
South Sudan,Africa,Africa,2014,male_suicide,5,5,lowest,Male
Sudan,Africa,Africa,2014,male_suicide,5.1,6,lowest,Male
Mali,Africa,Africa,2014,male_suicide,5.5,7,lowest,Male
Nigeria,Africa,Africa,2014,male_suicide,5.6,8,lowest,Male
Liberia,Africa,Africa,2014,male_suicide,5.8,9,lowest,Male
Tanzania,Africa,Africa,2014,male_suicide,6.3,10,lowest,Male
Lesotho,Africa,Africa,2014,female_suicide,39.5,1,highest,Female
Zimbabwe,Africa,Africa,2014,female_suicide,14.3,2,highest,Female
Eswatini,Africa,Africa,2014,female_suicide,13.8,3,highest,Female
South Africa,Africa,Africa,2014,female_suicide,9.8,4,highest,Female
Botswana,Africa,Africa,2014,female_suicide,8.6,5,highest,Female
Equatorial Guinea,Africa,Africa,2014,female_suicide,6.2,6,highest,Female
Djibouti,Africa,Africa,2014,female_suicide,6.1,7,highest,Female
Mozambique,Africa,Africa,2014,female_suicide,6.1,8,highest,Female
Central African Rep.,Africa,Africa,2014,female_suicide,5.9,9,highest,Female
Eritrea,Africa,Africa,2014,female_suicide,5.5,10,highest,Female
Sao Tome and Principe,Africa,Africa,2014,female_suicide,0.8,1,lowest,Female
Seychelles,Africa,Africa,2014,female_suicide,1.5,2,lowest,Female
Ghana,Africa,Africa,2014,female_suicide,1.6,3,lowest,Female
Uganda,Africa,Africa,2014,female_suicide,1.6,4,lowest,Female
South Sudan,Africa,Africa,2014,female_suicide,1.9,5,lowest,Female
Algeria,Africa,Africa,2014,female_suicide,2,6,lowest,Female
Tunisia,Africa,Africa,2014,female_suicide,2,7,lowest,Female
Tanzania,Africa,Africa,2014,female_suicide,2,8,lowest,Female
Nigeria,Africa,Africa,2014,female_suicide,2.1,9,lowest,Female
Dominican Republic,Africa,Africa,2014,female_suicide,2.2,10,lowest,Female
Lesotho,Africa,Africa,2013,both_suicide,87.6,1,highest,All
Eswatini,Africa,Africa,2013,both_suicide,44.6,2,highest,All
South Africa,Africa,Africa,2013,both_suicide,23.7,3,highest,All
Botswana,Africa,Africa,2013,both_suicide,21.6,4,highest,All
Zimbabwe,Africa,Africa,2013,both_suicide,18.6,5,highest,All
Mozambique,Africa,Africa,2013,both_suicide,15.3,6,highest,All
Central African Rep.,Africa,Africa,2013,both_suicide,14.9,7,highest,All
Cabo Verde,Africa,Africa,2013,both_suicide,14.6,8,highest,All
Eritrea,Africa,Africa,2013,both_suicide,12,9,highest,All
Côte d'Ivoire,Africa,Africa,2013,both_suicide,11.1,10,highest,All
Sao Tome and Principe,Africa,Africa,2013,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2013,both_suicide,2.9,2,lowest,All
Mauritania,Africa,Africa,2013,both_suicide,3.1,3,lowest,All
Tunisia,Africa,Africa,2013,both_suicide,3.3,4,lowest,All
South Sudan,Africa,Africa,2013,both_suicide,3.6,5,lowest,All
Sudan,Africa,Africa,2013,both_suicide,4,6,lowest,All
Nigeria,Africa,Africa,2013,both_suicide,4.1,7,lowest,All
Tanzania,Africa,Africa,2013,both_suicide,4.4,8,lowest,All
Mali,Africa,Africa,2013,both_suicide,4.5,9,lowest,All
Libya,Africa,Africa,2013,both_suicide,4.8,10,lowest,All
Lesotho,Africa,Africa,2013,male_suicide,139.9,1,highest,Male
Eswatini,Africa,Africa,2013,male_suicide,73.9,2,highest,Male
South Africa,Africa,Africa,2013,male_suicide,38.1,3,highest,Male
Botswana,Africa,Africa,2013,male_suicide,36.2,4,highest,Male
Cabo Verde,Africa,Africa,2013,male_suicide,24.3,5,highest,Male
Mozambique,Africa,Africa,2013,male_suicide,24.1,6,highest,Male
Central African Rep.,Africa,Africa,2013,male_suicide,23.7,7,highest,Male
Zimbabwe,Africa,Africa,2013,male_suicide,23,8,highest,Male
Eritrea,Africa,Africa,2013,male_suicide,18.4,9,highest,Male
Côte d'Ivoire,Africa,Africa,2013,male_suicide,18.2,10,highest,Male
Sao Tome and Principe,Africa,Africa,2013,male_suicide,2.1,1,lowest,Male
Algeria,Africa,Africa,2013,male_suicide,3.6,2,lowest,Male
Mauritania,Africa,Africa,2013,male_suicide,4,3,lowest,Male
Tunisia,Africa,Africa,2013,male_suicide,4.5,4,lowest,Male
Sudan,Africa,Africa,2013,male_suicide,5.2,5,lowest,Male
South Sudan,Africa,Africa,2013,male_suicide,5.3,6,lowest,Male
