country,year,type,value
Algeria,2005,both_suicide,3.9
Algeria,2005,male_suicide,4.8
Algeria,2005,female_suicide,2.8
Algeria,2004,both_suicide,4
Algeria,2004,male_suicide,5
Algeria,2004,female_suicide,3
Algeria,2003,both_suicide,4.1
Algeria,2003,male_suicide,5.1
Algeria,2003,female_suicide,3.1
Algeria,2002,both_suicide,4.4
Algeria,2002,male_suicide,5.5
Algeria,2002,female_suicide,3.3
Algeria,2001,both_suicide,4.5
Algeria,2001,male_suicide,5.6
Algeria,2001,female_suicide,3.4
Algeria,2000,both_suicide,4.5
Algeria,2000,male_suicide,5.6
Algeria,2000,female_suicide,3.4
Angola,2019,both_suicide,6.1
Angola,2019,male_suicide,10
Angola,2019,female_suicide,2.3
Angola,2018,both_suicide,6
Angola,2018,male_suicide,9.8
Angola,2018,female_suicide,2.3
Angola,2017,both_suicide,6
Angola,2017,male_suicide,9.7
Angola,2017,female_suicide,2.4
Angola,2016,both_suicide,6.2
Angola,2016,male_suicide,10
Angola,2016,female_suicide,2.6
Angola,2015,both_suicide,6.5
Angola,2015,male_suicide,10.5
Angola,2015,female_suicide,2.6
Angola,2014,both_suicide,6.4
Angola,2014,male_suicide,10.4
Angola,2014,female_suicide,2.4
Angola,2013,both_suicide,6.9
Angola,2013,male_suicide,11.3
Angola,2013,female_suicide,2.6
Angola,2012,both_suicide,6.9
Angola,2012,male_suicide,11.2
Angola,2012,female_suicide,2.7
Angola,2011,both_suicide,6.6
Angola,2011,male_suicide,10.6
Angola,2011,female_suicide,2.7
Angola,2010,both_suicide,7
Angola,2010,male_suicide,11.2
Angola,2010,female_suicide,2.9
Angola,2009,both_suicide,6.7
Angola,2009,male_suicide,10.8
Angola,2009,female_suicide,2.7
Angola,2008,both_suicide,7.5
Angola,2008,male_suicide,12
Angola,2008,female_suicide,3.2
Angola,2007,both_suicide,7.4
Angola,2007,male_suicide,11.9
Angola,2007,female_suicide,3
Angola,2006,both_suicide,8.6
Angola,2006,male_suicide,13.6
Angola,2006,female_suicide,3.6
Angola,2005,both_suicide,8.1
Angola,2005,male_suicide,12.8
Angola,2005,female_suicide,3.4
Angola,2004,both_suicide,8.6
Angola,2004,male_suicide,13.6
Angola,2004,female_suicide,3.6
Angola,2003,both_suicide,8.8
Angola,2003,male_suicide,13.9
Angola,2003,female_suicide,3.6
Angola,2002,both_suicide,8.6
Angola,2002,male_suicide,13.8
Angola,2002,female_suicide,3.4
Angola,2001,both_suicide,8.6
Angola,2001,male_suicide,14.1
Angola,2001,female_suicide,3.2
Angola,2000,both_suicide,8.7
Angola,2000,male_suicide,14.2
Angola,2000,female_suicide,3.3
Antigua and Barbuda,2019,both_suicide,0.4
Antigua and Barbuda,2019,male_suicide,0
Antigua and Barbuda,2019,female_suicide,0.8
Antigua and Barbuda,2018,both_suicide,0.4
Antigua and Barbuda,2018,male_suicide,0
Antigua and Barbuda,2018,female_suicide,0.7
Antigua and Barbuda,2017,both_suicide,0
Antigua and Barbuda,2017,male_suicide,0
Antigua and Barbuda,2017,female_suicide,0
Antigua and Barbuda,2016,both_suicide,0.5
Antigua and Barbuda,2016,male_suicide,0
Antigua and Barbuda,2016,female_suicide,1
Antigua and Barbuda,2015,both_suicide,0.4
Antigua and Barbuda,2015,male_suicide,0
Antigua and Barbuda,2015,female_suicide,0.8
Antigua and Barbuda,2014,both_suicide,0.4
Antigua and Barbuda,2014,male_suicide,0
Antigua and Barbuda,2014,female_suicide,0.9
Antigua and Barbuda,2013,both_suicide,0
Antigua and Barbuda,2013,male_suicide,0
Antigua and Barbuda,2013,female_suicide,0
Antigua and Barbuda,2012,both_suicide,0
Antigua and Barbuda,2012,male_suicide,0
Antigua and Barbuda,2012,female_suicide,0
Antigua and Barbuda,2011,both_suicide,0.2
Antigua and Barbuda,2011,male_suicide,0.2
Antigua and Barbuda,2011,female_suicide,0.2
Antigua and Barbuda,2010,both_suicide,0.2
Antigua and Barbuda,2010,male_suicide,0.3
Antigua and Barbuda,2010,female_suicide,0
Antigua and Barbuda,2009,both_suicide,0
Antigua and Barbuda,2009,male_suicide,0
Antigua and Barbuda,2009,female_suicide,0
Antigua and Barbuda,2008,both_suicide,0.3
Antigua and Barbuda,2008,male_suicide,0.6
Antigua and Barbuda,2008,female_suicide,0
Antigua and Barbuda,2007,both_suicide,0.4
Antigua and Barbuda,2007,male_suicide,0.8
Antigua and Barbuda,2007,female_suicide,0
Antigua and Barbuda,2006,both_suicide,0.5
Antigua and Barbuda,2006,male_suicide,1
Antigua and Barbuda,2006,female_suicide,0
Antigua and Barbuda,2005,both_suicide,1.3
Antigua and Barbuda,2005,male_suicide,2.7
Antigua and Barbuda,2005,female_suicide,0
Antigua and Barbuda,2004,both_suicide,1.7
Antigua and Barbuda,2004,male_suicide,3.7
Antigua and Barbuda,2004,female_suicide,0
Antigua and Barbuda,2003,both_suicide,1.3
Antigua and Barbuda,2003,male_suicide,2.7
Antigua and Barbuda,2003,female_suicide,0
Antigua and Barbuda,2002,both_suicide,1.3
Antigua and Barbuda,2002,male_suicide,2.7
Antigua and Barbuda,2002,female_suicide,0
Antigua and Barbuda,2001,both_suicide,1.9
Antigua and Barbuda,2001,male_suicide,4
Antigua and Barbuda,2001,female_suicide,0
Antigua and Barbuda,2000,both_suicide,1.9
Antigua and Barbuda,2000,male_suicide,4.1
Antigua and Barbuda,2000,female_suicide,0
Argentina,2019,both_suicide,8.4
Argentina,2019,male_suicide,13.7
Argentina,2019,female_suicide,3.3
Argentina,2018,both_suicide,9.2
Argentina,2018,male_suicide,15.1
Argentina,2018,female_suicide,3.6
Argentina,2017,both_suicide,8.9
Argentina,2017,male_suicide,14.5
Argentina,2017,female_suicide,3.5
Argentina,2016,both_suicide,8.3
Argentina,2016,male_suicide,13.7
Argentina,2016,female_suicide,3.1
Argentina,2015,both_suicide,8.3
Argentina,2015,male_suicide,13.6
Argentina,2015,female_suicide,3.3
Argentina,2014,both_suicide,9.3
Argentina,2014,male_suicide,15.1
Argentina,2014,female_suicide,3.7
Argentina,2013,both_suicide,8.6
Argentina,2013,male_suicide,14.2
Argentina,2013,female_suicide,3.2
Argentina,2012,both_suicide,9.1
Argentina,2012,male_suicide,15.1
Argentina,2012,female_suicide,3.5
Argentina,2011,both_suicide,8.5
Argentina,2011,male_suicide,14
Argentina,2011,female_suicide,3.3
Argentina,2010,both_suicide,8.6
Argentina,2010,male_suicide,14.2
Argentina,2010,female_suicide,3.2
Argentina,2009,both_suicide,8.4
Argentina,2009,male_suicide,13.9
Argentina,2009,female_suicide,3.2
Argentina,2008,both_suicide,8.7
Argentina,2008,male_suicide,14.3
Argentina,2008,female_suicide,3.3
Argentina,2007,both_suicide,8.3
Argentina,2007,male_suicide,13.5
Argentina,2007,female_suicide,3.3
Argentina,2006,both_suicide,8.6
Argentina,2006,male_suicide,14.2
Argentina,2006,female_suicide,3.3
Argentina,2005,both_suicide,8.6
Argentina,2005,male_suicide,13.9
Argentina,2005,female_suicide,3.6
Argentina,2004,both_suicide,8.7
Argentina,2004,male_suicide,14.2
Argentina,2004,female_suicide,3.6
Argentina,2003,both_suicide,9.7
Argentina,2003,male_suicide,15.9
Argentina,2003,female_suicide,3.8
Argentina,2002,both_suicide,10.2
Argentina,2002,male_suicide,16.6
Argentina,2002,female_suicide,4.2
Argentina,2001,both_suicide,10.3
Argentina,2001,male_suicide,16.9
Argentina,2001,female_suicide,4
Argentina,2000,both_suicide,9.1
Argentina,2000,male_suicide,15.2
Argentina,2000,female_suicide,3.4
Armenia,2019,both_suicide,3.3
Armenia,2019,male_suicide,5.6
Armenia,2019,female_suicide,1.3
Armenia,2018,both_suicide,2.1
Armenia,2018,male_suicide,3.4
Armenia,2018,female_suicide,0.9
Armenia,2017,both_suicide,3
Armenia,2017,male_suicide,5.5
Armenia,2017,female_suicide,0.7
Armenia,2016,both_suicide,5.7
Armenia,2016,male_suicide,9.2
Armenia,2016,female_suicide,2.6
Armenia,2015,both_suicide,6.2
Armenia,2015,male_suicide,8.9
Armenia,2015,female_suicide,3.7
Armenia,2014,both_suicide,6.3
Armenia,2014,male_suicide,8.1
Armenia,2014,female_suicide,4.6
Armenia,2013,both_suicide,6.4
Armenia,2013,male_suicide,7.6
Armenia,2013,female_suicide,5.2
Armenia,2012,both_suicide,7.4
Armenia,2012,male_suicide,10.9
Armenia,2012,female_suicide,4.4
Armenia,2011,both_suicide,6.8
Armenia,2011,male_suicide,9.5
Armenia,2011,female_suicide,4.4
Armenia,2010,both_suicide,6.8
Armenia,2010,male_suicide,10.5
Armenia,2010,female_suicide,3.5
Armenia,2009,both_suicide,4.8
Armenia,2009,male_suicide,8
Armenia,2009,female_suicide,1.9
Armenia,2008,both_suicide,4.8
Armenia,2008,male_suicide,7.3
Armenia,2008,female_suicide,2.7
Armenia,2007,both_suicide,5.8
Armenia,2007,male_suicide,8.7
Armenia,2007,female_suicide,3.1
Armenia,2006,both_suicide,5.9
Armenia,2006,male_suicide,8.9
Armenia,2006,female_suicide,3.2
Armenia,2005,both_suicide,4.2
Armenia,2005,male_suicide,6.6
Armenia,2005,female_suicide,2.1
Armenia,2004,both_suicide,4
Armenia,2004,male_suicide,6.2
Armenia,2004,female_suicide,2.1
Armenia,2003,both_suicide,2.6
Armenia,2003,male_suicide,4.3
Armenia,2003,female_suicide,1.1
Armenia,2002,both_suicide,3.5
Armenia,2002,male_suicide,5.9
Armenia,2002,female_suicide,1.3
Armenia,2001,both_suicide,3.1
Armenia,2001,male_suicide,5.2
Armenia,2001,female_suicide,1.3
Armenia,2000,both_suicide,3.4
Armenia,2000,male_suicide,5.1
Armenia,2000,female_suicide,2
Australia,2019,both_suicide,12.5
Australia,2019,male_suicide,18.6
Australia,2019,female_suicide,6.4
Australia,2018,both_suicide,12.4
Australia,2018,male_suicide,18.7
Australia,2018,female_suicide,6.2
Australia,2017,both_suicide,13.1
Australia,2017,male_suicide,19.5
Australia,2017,female_suicide,6.9
Australia,2016,both_suicide,12.2
Australia,2016,male_suicide,18
Australia,2016,female_suicide,6.4
Australia,2015,both_suicide,13.2
Australia,2015,male_suicide,19.7
Australia,2015,female_suicide,6.8
Australia,2014,both_suicide,12.7
Australia,2014,male_suicide,18.9
Australia,2014,female_suicide,6.5
Australia,2013,both_suicide,11.5
Australia,2013,male_suicide,17
Australia,2013,female_suicide,6.1
Australia,2012,both_suicide,11.7
Australia,2012,male_suicide,17.1
Australia,2012,female_suicide,6.4
Australia,2011,both_suicide,11.2
Australia,2011,male_suicide,16.8
Australia,2011,female_suicide,5.7
Australia,2010,both_suicide,11.7
Australia,2010,male_suicide,17.7
Australia,2010,female_suicide,5.7
Australia,2009,both_suicide,11.2
Australia,2009,male_suicide,16.9
Australia,2009,female_suicide,5.6
Australia,2008,both_suicide,11.6
Australia,2008,male_suicide,17.9
Australia,2008,female_suicide,5.3
Australia,2007,both_suicide,10.9
Australia,2007,male_suicide,16.2
Australia,2007,female_suicide,5.5
Australia,2006,both_suicide,10.6
Australia,2006,male_suicide,16.1
Australia,2006,female_suicide,5.2
Australia,2005,both_suicide,11.2
Australia,2005,male_suicide,17.3
Australia,2005,female_suicide,5.1
Australia,2004,both_suicide,10.3
Australia,2004,male_suicide,15.9
Australia,2004,female_suicide,4.6
Australia,2003,both_suicide,10.5
Australia,2003,male_suicide,16.2
Australia,2003,female_suicide,4.8
Australia,2002,both_suicide,11.3
Australia,2002,male_suicide,17.4
Australia,2002,female_suicide,5.3
Australia,2001,both_suicide,12.2
Australia,2001,male_suicide,18.8
Australia,2001,female_suicide,5.5
Australia,2000,both_suicide,12.7
Australia,2000,male_suicide,19.9
Australia,2000,female_suicide,5.6
Austria,2019,both_suicide,14.6
Austria,2019,male_suicide,22.8
Austria,2019,female_suicide,6.7
Austria,2018,both_suicide,15.7
Austria,2018,male_suicide,24.9
Austria,2018,female_suicide,6.9
Austria,2017,both_suicide,15.4
Austria,2017,male_suicide,24.5
Austria,2017,female_suicide,6.6
Austria,2016,both_suicide,15.5
Austria,2016,male_suicide,23.6
Austria,2016,female_suicide,7.7
Austria,2015,both_suicide,16
Austria,2015,male_suicide,24.8
Austria,2015,female_suicide,7.6
Austria,2014,both_suicide,16.5
Austria,2014,male_suicide,25.3
Austria,2014,female_suicide,8.1
Austria,2013,both_suicide,16.2
Austria,2013,male_suicide,24.9
Austria,2013,female_suicide,7.9
Austria,2012,both_suicide,16.3
Austria,2012,male_suicide,25.7
Austria,2012,female_suicide,7.3
Austria,2011,both_suicide,16.5
Austria,2011,male_suicide,25.4
Austria,2011,female_suicide,8
Austria,2010,both_suicide,16.1
Austria,2010,male_suicide,25.1
Austria,2010,female_suicide,7.6
Austria,2009,both_suicide,16
Austria,2009,male_suicide,24.8
Austria,2009,female_suicide,7.6
Austria,2008,both_suicide,15.8
Austria,2008,male_suicide,24.6
Austria,2008,female_suicide,7.5
Austria,2007,both_suicide,16
Austria,2007,male_suicide,24.5
Austria,2007,female_suicide,7.9
Austria,2006,both_suicide,16.4
Austria,2006,male_suicide,25.7
Austria,2006,female_suicide,7.5
Austria,2005,both_suicide,17.2
Austria,2005,male_suicide,26.4
Austria,2005,female_suicide,8.6
Austria,2004,both_suicide,17.5
Austria,2004,male_suicide,27.1
Austria,2004,female_suicide,8.4
Austria,2003,both_suicide,18.2
Austria,2003,male_suicide,27.5
Austria,2003,female_suicide,9.4
Austria,2002,both_suicide,19.3
Austria,2002,male_suicide,30.4
Austria,2002,female_suicide,8.9
Austria,2001,both_suicide,18.6
Austria,2001,male_suicide,27.7
Austria,2001,female_suicide,10
Austria,2000,both_suicide,19.9
Austria,2000,male_suicide,29.8
Austria,2000,female_suicide,10.6
Azerbaijan,2019,both_suicide,4.1
Azerbaijan,2019,male_suicide,6.6
Azerbaijan,2019,female_suicide,1.6
Azerbaijan,2018,both_suicide,4
Azerbaijan,2018,male_suicide,6.5
Azerbaijan,2018,female_suicide,1.6
Azerbaijan,2017,both_suicide,4
Azerbaijan,2017,male_suicide,6.4
Azerbaijan,2017,female_suicide,1.6
Azerbaijan,2016,both_suicide,4
Azerbaijan,2016,male_suicide,6.4
Azerbaijan,2016,female_suicide,1.6
Azerbaijan,2015,both_suicide,4.1
Azerbaijan,2015,male_suicide,6.6
Azerbaijan,2015,female_suicide,1.6
Azerbaijan,2014,both_suicide,4.2
Azerbaijan,2014,male_suicide,6.7
Azerbaijan,2014,female_suicide,1.6
Azerbaijan,2013,both_suicide,4.3
Azerbaijan,2013,male_suicide,6.9
Azerbaijan,2013,female_suicide,1.7
Azerbaijan,2012,both_suicide,4.4
Azerbaijan,2012,male_suicide,7
Azerbaijan,2012,female_suicide,1.8
Azerbaijan,2011,both_suicide,4.5
Azerbaijan,2011,male_suicide,7.2
Azerbaijan,2011,female_suicide,1.9
Azerbaijan,2010,both_suicide,4.6
Azerbaijan,2010,male_suicide,7.3
Azerbaijan,2010,female_suicide,1.9
Azerbaijan,2009,both_suicide,4.6
Azerbaijan,2009,male_suicide,7.4
Azerbaijan,2009,female_suicide,1.9
Azerbaijan,2008,both_suicide,4.7
Azerbaijan,2008,male_suicide,7.5
Azerbaijan,2008,female_suicide,2
Azerbaijan,2007,both_suicide,4.9
Azerbaijan,2007,male_suicide,7.8
Azerbaijan,2007,female_suicide,2.1
Azerbaijan,2006,both_suicide,4.7
Azerbaijan,2006,male_suicide,7.5
Azerbaijan,2006,female_suicide,2
Azerbaijan,2005,both_suicide,4.5
Azerbaijan,2005,male_suicide,7.2
Azerbaijan,2005,female_suicide,1.9
Azerbaijan,2004,both_suicide,4.3
Azerbaijan,2004,male_suicide,6.9
Azerbaijan,2004,female_suicide,1.8
Azerbaijan,2003,both_suicide,3.8
Azerbaijan,2003,male_suicide,6
Azerbaijan,2003,female_suicide,1.6
Azerbaijan,2002,both_suicide,3.6
Azerbaijan,2002,male_suicide,5.8
Azerbaijan,2002,female_suicide,1.5
Azerbaijan,2001,both_suicide,3.4
Azerbaijan,2001,male_suicide,5.5
Azerbaijan,2001,female_suicide,1.4
Azerbaijan,2000,both_suicide,3.1
Azerbaijan,2000,male_suicide,5.1
Azerbaijan,2000,female_suicide,1.2
Bahamas,2019,both_suicide,3.5
Bahamas,2019,male_suicide,5.9
Bahamas,2019,female_suicide,1.3
Bahamas,2018,both_suicide,3.5
Bahamas,2018,male_suicide,6
Bahamas,2018,female_suicide,1.2
Bahamas,2017,both_suicide,3.4
Bahamas,2017,male_suicide,5.9
Bahamas,2017,female_suicide,1.1
Bahamas,2016,both_suicide,3.6
Bahamas,2016,male_suicide,6.2
Bahamas,2016,female_suicide,1.1
Bahamas,2015,both_suicide,3.5
Bahamas,2015,male_suicide,5.9
Bahamas,2015,female_suicide,1.1
Bahamas,2014,both_suicide,3.3
Bahamas,2014,male_suicide,5.7
Bahamas,2014,female_suicide,1
Bahamas,2013,both_suicide,3.1
Bahamas,2013,male_suicide,5.3
Bahamas,2013,female_suicide,1.1
Bahamas,2012,both_suicide,3.5
Bahamas,2012,male_suicide,6
Bahamas,2012,female_suicide,1.2
Bahamas,2011,both_suicide,3.7
Bahamas,2011,male_suicide,6.3
Bahamas,2011,female_suicide,1.3
Bahamas,2010,both_suicide,3.6
Bahamas,2010,male_suicide,6.1
Bahamas,2010,female_suicide,1.3
Bahamas,2009,both_suicide,3.3
Bahamas,2009,male_suicide,5.5
Bahamas,2009,female_suicide,1.3
Bahamas,2008,both_suicide,3.3
Bahamas,2008,male_suicide,5.5
Bahamas,2008,female_suicide,1.3
Bahamas,2007,both_suicide,3.2
Bahamas,2007,male_suicide,5.3
Bahamas,2007,female_suicide,1.3
Bahamas,2006,both_suicide,3.5
Bahamas,2006,male_suicide,5.6
Bahamas,2006,female_suicide,1.4
Bahamas,2005,both_suicide,3
Bahamas,2005,male_suicide,4.9
Bahamas,2005,female_suicide,1.3
Bahamas,2004,both_suicide,3.2
Bahamas,2004,male_suicide,5.2
Bahamas,2004,female_suicide,1.3
Bahamas,2003,both_suicide,2.4
Bahamas,2003,male_suicide,3.9
Bahamas,2003,female_suicide,0.9
Bahamas,2002,both_suicide,2.3
Bahamas,2002,male_suicide,3.8
Bahamas,2002,female_suicide,0.8
Bahamas,2001,both_suicide,2.5
Bahamas,2001,male_suicide,4.1
Bahamas,2001,female_suicide,1.1
Bahamas,2000,both_suicide,2.3
Bahamas,2000,male_suicide,3.6
Bahamas,2000,female_suicide,1.1
Bahrain,2019,both_suicide,8.9
Bahrain,2019,male_suicide,12.5
Bahrain,2019,female_suicide,2.4
Bahrain,2018,both_suicide,8.6
Bahrain,2018,male_suicide,12.1
Bahrain,2018,female_suicide,2.4
Bahrain,2017,both_suicide,8.1
Bahrain,2017,male_suicide,11.4
Bahrain,2017,female_suicide,2.4
Bahrain,2016,both_suicide,7.7
Bahrain,2016,male_suicide,10.9
Bahrain,2016,female_suicide,2.4
Bahrain,2015,both_suicide,7.4
Bahrain,2015,male_suicide,10.4
Bahrain,2015,female_suicide,2.5
Bahrain,2014,both_suicide,7.4
Bahrain,2014,male_suicide,10.4
Bahrain,2014,female_suicide,2.6
Bahrain,2013,both_suicide,7.1
Bahrain,2013,male_suicide,9.9
Bahrain,2013,female_suicide,2.6
Bahrain,2012,both_suicide,7.4
Bahrain,2012,male_suicide,10.3
Bahrain,2012,female_suicide,2.7
Bahrain,2011,both_suicide,7.9
Bahrain,2011,male_suicide,10.9
Bahrain,2011,female_suicide,3
Bahrain,2010,both_suicide,8.2
Bahrain,2010,male_suicide,11.3
Bahrain,2010,female_suicide,3.1
Bahrain,2009,both_suicide,8.6
Bahrain,2009,male_suicide,11.8
Bahrain,2009,female_suicide,3.3
Bahrain,2008,both_suicide,9.2
Bahrain,2008,male_suicide,12.7
Bahrain,2008,female_suicide,3.4
Bahrain,2007,both_suicide,9.6
Bahrain,2007,male_suicide,13.3
Bahrain,2007,female_suicide,3.6
Bahrain,2006,both_suicide,8.2
Bahrain,2006,male_suicide,11.3
Bahrain,2006,female_suicide,3.4
Bahrain,2005,both_suicide,10.3
Bahrain,2005,male_suicide,14.6
Bahrain,2005,female_suicide,3.8
Bahrain,2004,both_suicide,10.2
Bahrain,2004,male_suicide,14.6
Bahrain,2004,female_suicide,3.7
Bahrain,2003,both_suicide,10.2
Bahrain,2003,male_suicide,14.7
Bahrain,2003,female_suicide,3.7
Bahrain,2002,both_suicide,9.2
Bahrain,2002,male_suicide,13.5
Bahrain,2002,female_suicide,3.2
Bahrain,2001,both_suicide,8.8
Bahrain,2001,male_suicide,13.1
Bahrain,2001,female_suicide,2.9
Bahrain,2000,both_suicide,6.6
Bahrain,2000,male_suicide,9.8
Bahrain,2000,female_suicide,2.3
Bangladesh,2019,both_suicide,3.7
Bangladesh,2019,male_suicide,5.7
Bangladesh,2019,female_suicide,1.7
Bangladesh,2018,both_suicide,3.6
Bangladesh,2018,male_suicide,5.5
Bangladesh,2018,female_suicide,1.6
Bangladesh,2017,both_suicide,3.5
Bangladesh,2017,male_suicide,5.3
Bangladesh,2017,female_suicide,1.6
Bangladesh,2016,both_suicide,3.4
Bangladesh,2016,male_suicide,5.1
Bangladesh,2016,female_suicide,1.7
Bangladesh,2015,both_suicide,3.4
Bangladesh,2015,male_suicide,5
Bangladesh,2015,female_suicide,1.8
Bangladesh,2014,both_suicide,3.5
Bangladesh,2014,male_suicide,5.1
Bangladesh,2014,female_suicide,1.8
Bangladesh,2013,both_suicide,3.5
Bangladesh,2013,male_suicide,5
Bangladesh,2013,female_suicide,2
Bangladesh,2012,both_suicide,3.7
Bangladesh,2012,male_suicide,5.1
Bangladesh,2012,female_suicide,2.2
Bangladesh,2011,both_suicide,4
Bangladesh,2011,male_suicide,5.6
Bangladesh,2011,female_suicide,2.2
Bangladesh,2010,both_suicide,4.4
Bangladesh,2010,male_suicide,6.3
Bangladesh,2010,female_suicide,2.4
Bangladesh,2009,both_suicide,4.6
Bangladesh,2009,male_suicide,6.5
Bangladesh,2009,female_suicide,2.6
